0.1,0
0.03333333333333333,0
0.36666666666666664,0
0.5333333333333333,0
0.16666666666666666,0
0.03333333333333333,0
0.4,0
0.13333333333333333,0
0.2,0
0.26666666666666666,0
0.6333333333333333,0
0.06666666666666667,0
0.6666666666666666,0
0.3,0
0.06666666666666667,0
0.7666666666666667,0
0.1,0
0.16666666666666666,0
0,0
0.3333333333333333,0
0.43333333333333335,0
0.7,0
0.6,0
0.5666666666666667,0
0.23333333333333334,0
0.13333333333333333,0
0.4666666666666667,0
0.8,0
0.7333333333333333,0
0.5,0
0.06666666666666667,0
0.6666666666666666,0
0.5666666666666667,0
0.2,0
0.7666666666666667,0
0.3333333333333333,0
0.8,0
0.1,0
0.13333333333333333,0
0.03333333333333333,0
0.03333333333333333,0
0.16666666666666666,0
0.36666666666666664,0
0.6333333333333333,0
0.13333333333333333,0
0.4666666666666667,0
0.16666666666666666,0
0.7333333333333333,0
0.43333333333333335,0
0.23333333333333334,0
0.5333333333333333,0
0.06666666666666667,0
0.7,0
0,0
0.3,0
0.6,0
0.4,0
0.5,0
0.26666666666666666,0
0.1,0
0.6666666666666666,0
0.7666666666666667,0
0.16666666666666666,0
0.1,0
0.5,0
0.7,0
0.13333333333333333,0
0.6333333333333333,0
0.1,0
0.03333333333333333,0
0.5666666666666667,0
0.16666666666666666,0
0.43333333333333335,0
0.23333333333333334,0
0.4666666666666667,0
0.13333333333333333,0
0.7333333333333333,0
0.6,0
0.36666666666666664,0
0.3333333333333333,0
0,0
0.26666666666666666,0
0.03333333333333333,0
0.06666666666666667,0
0.2,0
0.8,0
0.3,0
0.5333333333333333,0
0.4,0
0.06666666666666667,0
0.3,0
0.3333333333333333,0
0.16666666666666666,0
0.03333333333333333,0
0.7333333333333333,0
0.23333333333333334,0
0,0
0.06666666666666667,0
0.5333333333333333,0
0.7,0
0.6666666666666666,0
0.1,0
0.43333333333333335,0
0.7666666666666667,0
0.6,0
0.5,0
0.13333333333333333,0
0.06666666666666667,0
0.1,0
0.4666666666666667,0
0.8,0
0.5666666666666667,0
0.03333333333333333,0
0.4,0
0.13333333333333333,0
0.6333333333333333,0
0.2,0
0.36666666666666664,0
0.16666666666666666,0
0.26666666666666666,0
0.8,1
0.06666666666666667,1
0.2,1
0.9333333333333333,1
0.8333333333333334,1
0.1,1
0.7666666666666667,1
0.16666666666666666,1
0.5666666666666667,1
0.13333333333333333,1
0.3,1
0.3333333333333333,1
0.13333333333333333,1
0.9666666666666667,1
0.8,1
0.5333333333333333,1
0.43333333333333335,1
0.23333333333333334,1
0.7666666666666667,1
0.6,1
0.6,1
0.6333333333333333,1
0.1,1
